# Last update: 2025-07-17 06:16:04
# 请保存https://namegenliang.github.io/fast-github-access/hosts/github-hosts.txt
# 请保存https://namegenliang.github.io/fast-github-access/hosts/github-hosts.txt
# 请保存https://namegenliang.github.io/fast-github-access/hosts/github-hosts.txt
185.199.109.154	github.githubassets.com
140.82.112.22	central.github.com
185.199.111.133	desktop.githubusercontent.com
185.199.108.133	camo.githubusercontent.com
185.199.108.133	github.map.fastly.net
146.75.29.194	github.global.ssl.fastly.net
140.82.113.3	gist.github.com
185.199.108.153	github.io
140.82.113.3	github.com
140.82.113.5	api.github.com
185.199.110.133	raw.githubusercontent.com
185.199.109.133	user-images.githubusercontent.com
185.199.108.133	favicons.githubusercontent.com
185.199.108.133	avatars5.githubusercontent.com
185.199.108.133	avatars4.githubusercontent.com
185.199.108.133	avatars3.githubusercontent.com
185.199.110.133	avatars2.githubusercontent.com
185.199.108.133	avatars1.githubusercontent.com
185.199.108.133	avatars0.githubusercontent.com
185.199.110.133	avatars.githubusercontent.com
140.82.112.10	codeload.github.com
3.5.6.125	github-cloud.s3.amazonaws.com
3.5.25.249	github-com.s3.amazonaws.com
3.5.16.24	github-production-release-asset-2e65be.s3.amazonaws.com
3.5.29.247	github-production-user-asset-6210df.s3.amazonaws.com
54.231.236.57	github-production-repository-file-5c1aeb.s3.amazonaws.com
185.199.108.153	githubstatus.com
140.82.112.18	github.community
185.199.109.133	media.githubusercontent.com
185.199.109.133	objects.githubusercontent.com
185.199.110.133	raw.github.com
20.85.130.105	copilot-proxy.githubusercontent.com

# 自动更新说明：
# 本文件由 GitHub Actions 自动生成
# 项目地址：https://github.com/namegenliang/fast-github-access
# 每 2 小时自动更新一次，如有问题请namegenliang@gmail.com
